,"(p,d,q,P,D,Q,s)",AIC
376,"(4, 1, 2, 4, 1, 0, 12)",280.4308455522219
377,"(0, 1, 3, 2, 1, 2, 12)",280.44369255289376
378,"(4, 1, 1, 4, 1, 1, 12)",280.4493235220376
379,"(2, 1, 3, 0, 1, 4, 12)",280.4550442470113
380,"(2, 1, 1, 4, 1, 2, 12)",280.4711974230156
381,"(1, 1, 4, 3, 1, 4, 12)",280.48607803272336
382,"(4, 1, 3, 2, 1, 4, 12)",280.51108957806093
383,"(0, 1, 3, 3, 1, 1, 12)",280.5181126635924
384,"(4, 1, 3, 2, 1, 2, 12)",280.52247712197146
385,"(0, 1, 3, 1, 1, 0, 12)",280.52957925659234
386,"(4, 1, 2, 2, 1, 2, 12)",280.5358895639831
387,"(4, 1, 3, 1, 1, 2, 12)",280.5387975266706
388,"(1, 1, 4, 4, 1, 2, 12)",280.5407407616377
389,"(2, 1, 2, 0, 1, 2, 12)",280.5427346464287
390,"(4, 1, 2, 3, 1, 1, 12)",280.55984892512726
391,"(3, 1, 2, 4, 1, 2, 12)",280.56186705925313
392,"(0, 1, 2, 3, 1, 1, 12)",280.56247117064976
393,"(3, 1, 2, 4, 1, 1, 12)",280.5761474135365
394,"(4, 1, 2, 3, 1, 4, 12)",280.59206943250774
395,"(4, 1, 1, 3, 1, 2, 12)",280.6050053215093
396,"(4, 1, 3, 3, 1, 3, 12)",280.62957361170913
397,"(1, 1, 1, 3, 1, 4, 12)",280.63576011936686
398,"(2, 1, 2, 1, 1, 1, 12)",280.64943611718957
399,"(4, 1, 0, 0, 1, 3, 12)",280.66030807000857
400,"(4, 1, 3, 1, 1, 1, 12)",280.665159054475
401,"(1, 1, 4, 1, 1, 0, 12)",280.68017960393973
402,"(2, 1, 3, 2, 1, 4, 12)",280.69074211009325
403,"(3, 1, 2, 3, 1, 2, 12)",280.7104622455656
404,"(4, 1, 3, 2, 1, 1, 12)",280.7213588135216
405,"(0, 1, 4, 4, 1, 1, 12)",280.73514707760717
406,"(4, 1, 4, 4, 1, 1, 12)",280.77448400227155
407,"(0, 1, 3, 3, 1, 4, 12)",280.8015292426853
408,"(0, 1, 1, 4, 1, 1, 12)",280.80301732159245
409,"(2, 1, 2, 2, 1, 1, 12)",280.88135811676347
410,"(4, 1, 4, 3, 1, 2, 12)",280.90947661684163
411,"(1, 1, 2, 4, 1, 2, 12)",280.92314888604847
412,"(4, 1, 3, 0, 1, 4, 12)",280.9540543951857
413,"(0, 1, 4, 3, 1, 2, 12)",280.9920411804857
414,"(4, 1, 0, 0, 1, 2, 12)",281.00308876947537
415,"(2, 1, 2, 3, 1, 0, 12)",281.00617597010773
416,"(2, 1, 2, 2, 1, 4, 12)",281.0210334814534
417,"(4, 1, 4, 4, 1, 3, 12)",281.0364861519897
418,"(4, 1, 0, 2, 1, 1, 12)",281.04650807857706
419,"(3, 1, 0, 2, 1, 0, 12)",281.07043797584845
420,"(4, 1, 2, 1, 1, 0, 12)",281.091560926954
